,issurf,NC,NEO,NPO,HG_SO4,HG_COO,HG_ABS,HG_IOS,HG_Nonionic,cnt
Surf_146,1,30.0,8.5,9.5,1,0,0,0,0,2
Surf_147,1,32.0,40.0,15.0,1,0,0,0,0,2
Surf_148,1,32.0,10.0,35.0,1,0,0,0,0,2
Surf_149,1,13.5,3.0,0.0,1,0,0,0,0,3
Surf_150,1,18.0,0.0,13.0,1,0,0,0,0,3
Surf_151,1,36.0,2.0,10.0,1,0,0,0,0,3
Surf_152,1,20.0,10.0,7.0,1,0,0,0,0,3
Surf_153,1,28.0,30.0,0.0,1,0,0,0,0,3
Surf_154,1,28.0,6.0,7.0,1,0,0,0,0,3
Surf_155,1,30.0,10.0,15.0,1,0,0,0,0,3
Surf_156,1,30.0,10.0,25.0,1,0,0,0,0,3
Surf_157,1,30.0,0.0,7.0,1,0,0,0,0,3
Surf_158,1,32.0,10.0,35.0,1,0,0,0,0,3
Surf_159,1,13.0,9.0,0.0,1,0,0,0,0,4
Surf_160,1,32.0,10.0,15.0,1,0,0,0,0,4
Surf_161,1,16.0,6.0,7.0,1,0,0,0,0,4
Surf_162,1,28.0,10.0,25.0,1,0,0,0,0,4
Surf_163,1,32.0,10.0,25.0,1,0,0,0,0,4
Surf_164,1,32.0,40.0,16.0,1,0,0,0,0,4
Surf_165,1,8.0,0.0,4.0,1,0,0,0,0,4
Surf_166,1,13.0,0.0,15.0,1,0,0,0,0,5
Surf_167,1,16.0,2.0,7.0,1,0,0,0,0,5
Surf_168,1,18.0,10.0,35.0,1,0,0,0,0,5
Surf_169,1,28.0,50.0,35.0,1,0,0,0,0,5
Surf_170,1,30.0,20.0,45.0,1,0,0,0,0,5
Surf_171,1,32.0,14.0,7.0,1,0,0,0,0,6
Surf_172,1,24.0,10.0,0.0,1,0,0,0,0,7
Surf_173,1,24.0,10.0,25.0,1,0,0,0,0,7
Surf_174,1,28.0,20.0,45.0,1,0,0,0,0,7
Surf_175,1,30.0,10.0,45.0,1,0,0,0,0,7
Surf_176,1,32.0,18.0,7.0,1,0,0,0,0,8
Surf_177,1,20.0,10.0,0.0,1,0,0,0,0,9
Surf_178,1,20.0,2.0,0.0,1,0,0,0,0,9
Surf_179,1,28.0,10.0,35.0,1,0,0,0,0,9
Surf_180,1,32.0,22.0,25.0,1,0,0,0,0,9
Surf_181,1,14.5,0.0,9.0,1,0,0,0,0,10
Surf_182,1,18.0,10.0,45.0,1,0,0,0,0,10
Surf_183,1,13.0,27.0,0.0,1,0,0,0,0,11
Surf_184,1,16.0,14.0,7.0,1,0,0,0,0,11
Surf_185,1,32.0,10.0,7.0,1,0,0,0,0,11
Surf_186,1,28.0,2.0,7.0,1,0,0,0,0,12
Surf_187,1,13.5,12.0,0.0,1,0,0,0,0,13
Surf_188,1,13.0,10.0,35.0,1,0,0,0,0,13
Surf_189,1,13.0,0.0,7.0,1,0,0,0,0,13
Surf_190,1,30.0,10.0,35.0,1,0,0,0,0,13
Surf_191,1,20.0,6.0,0.0,1,0,0,0,0,14
Surf_192,1,28.0,30.0,35.0,1,0,0,0,0,14
Surf_193,1,13.0,0.0,9.0,1,0,0,0,0,16
Surf_194,1,24.0,20.0,35.0,1,0,0,0,0,16
Surf_195,1,32.0,25.0,26.0,1,0,0,0,0,16
Surf_196,1,28.0,20.0,35.0,1,0,0,0,0,18
Surf_197,1,28.0,10.0,45.0,1,0,0,0,0,20
Surf_198,1,13.0,20.0,45.0,1,0,0,0,0,21
Surf_199,1,32.0,10.0,15.0,1,0,0,0,0,21
Surf_200,1,12.5,0.0,7.0,1,0,0,0,0,23
Surf_201,1,24.0,26.0,25.0,1,0,0,0,0,23
Surf_202,1,30.0,20.0,35.0,1,0,0,0,0,25
Surf_203,1,32.0,25.0,16.0,1,0,0,0,0,26
Surf_204,1,32.0,6.0,7.0,1,0,0,0,0,26
Surf_205,1,13.0,12.0,0.0,1,0,0,0,0,29
Surf_206,1,16.0,0.0,7.0,1,0,0,0,0,36
Surf_207,1,18.0,20.0,45.0,1,0,0,0,0,42
Surf_208,1,28.0,10.0,35.0,1,0,0,0,0,59
Surf_209,1,16.0,0.0,0.0,1,0,0,0,0,62
Surf_210,1,8.0,0.0,7.0,1,0,0,0,0,77
Surf_211,1,13.0,10.0,45.0,1,0,0,0,0,78
Surf_212,1,16.5,0.0,7.0,1,0,0,0,0,83
Surf_213,1,12.5,0.0,13.0,1,0,0,0,0,187
Surf_214,1,13.0,0.0,13.0,1,0,0,0,0,281
Cosolv_1,0,7.0,0.0,0.0,0,0,0,0,1,1
Cosolv_2,0,4.0,2.77,0.0,0,0,0,0,1,1
Cosolv_3,0,10.0,15.0,0.0,0,0,0,0,1,1
Cosolv_4,0,4.0,5.0,1.0,0,0,0,0,1,1
Cosolv_5,0,3.0,0.0,0.0,0,0,0,0,1,1
Cosolv_6,0,8.0,0.0,0.0,0,0,0,0,1,1
Cosolv_7,0,6.0,13.1,0.0,0,0,0,0,1,1
Cosolv_8,0,6.0,15.0,0.0,0,0,0,0,1,1
Cosolv_9,0,6.0,15.0,1.0,0,0,0,0,1,1
Cosolv_10,0,6.0,10.0,2.0,0,0,0,0,1,1
Cosolv_11,0,6.0,2.0,2.0,0,0,0,0,1,1
Cosolv_12,0,6.0,5.0,2.0,0,0,0,0,1,1
