,MW,EACN,Vm,density,TAN,active,PCA_1,PCA_2,PCA_3
Oil_7 + 33.4% Oil_B,200.506187670508,8.52641282646255,228.233205586828,0.8785145314634251,0.0666,0,126.39272420529105,9.47910826358976,271.8135891549688
Oil_7 + 50% Oil_F,241.62649348182998,13.621019070741301,295.766121294374,0.816951219512195,0.05,0,184.10786107156952,14.792505812789312,403.3579445894993
Oil_7 + 50% Oil_K,224.67785679585097,12.655384233245499,276.55162027546197,0.8124264705882349,0.05,0,154.77532352247368,14.98647267579614,383.86154563745845
Oil_7 + 70% Oil_D,189.825843268194,11.758133618954401,242.74616703731002,0.781993164238172,0.03,0,92.44032133424449,17.172859199123465,372.42134350970736
Oil_8,429.772860576416,13.45,491.337442067469,0.8747,0.15,0,413.52649941357106,8.007487196297363,464.5281772084636
Oil_8 + 12.7% Oil_G,285.309526137997,10.317653653336402,340.091473974381,0.8389199611616529,0.13095,0,215.48413393534076,11.401051718075307,367.9899517395478
Oil_8 + 13.3% Oil_I,314.301112440647,11.4555925645399,370.996686658479,0.8471803758451809,0.13005,0,260.52361590433156,10.842821668909416,393.7274916242774
Oil_8 + 27.7% Oil_F,344.167012291276,14.5235840360888,408.288551233229,0.842950436037762,0.10845,0,317.2863535495553,11.818146684450964,454.6103199112674
Oil_8 + 4.87% Oil_L,364.692202041267,11.0501915294047,417.04372885025595,0.874469933996331,0.14269500000000002,0,323.0459724276982,8.124640043431882,397.11016235470254
Oil_9,426.149851858472,12.47761594130315,465.737543014723,0.915,0.0,1,473.6541999350736,7.175257453100931,348.8456529958578
Oil_10,283.8706911323282,12.47761594130315,321.93949562155035,0.8618333120206225,3.3,1,388.4301084331638,16.26205011464117,192.79578524190052
Oil_11,549.3947,12.47761594130315,321.93949562155035,0.8618333120206225,2.0,1,486.7449634788994,12.96790221815116,282.7567174227433
Oil_12,566.4137344999999,17.5,580.341941086066,0.976,3.5,1,781.1704722756662,6.679501469204614,324.10858464275105
Oil_12 + 10.2% Oil_I,403.49444930672007,14.077202824317501,429.791969279812,0.938813375184375,3.1430000000000002,1,561.3033759001598,9.842457763647648,233.14182431351435
Oil_12 + 15.1% Oil_F,461.734312478401,17.0381433413869,492.199978885887,0.938103072502266,2.9715,1,641.8661375039278,9.977904498217386,309.22587516838576
Oil_12 + 20.1% Oil_H,454.460031394902,17.6794626057178,489.605606881241,0.9282165584046,2.7965,1,631.2376826741106,10.7960899315118,326.93196699050657
Oil_12 + 50% Oil_C,227.43067201382198,11.5057280007602,272.286047647359,0.8352637749120749,1.75,1,266.89323095473924,16.903042828301473,221.13414956745692
Oil_12 + 50% Oil_D,261.901789942905,13.2715615432221,308.888670689259,0.8478840915676621,1.75,1,325.83758336788424,16.219538507231384,255.44471984284183
