,issurf,NC,NEO,NPO,HG_SO4,HG_COO,HG_ABS,HG_IOS,HG_Nonionic,cnt,label
Surf_20,1,0.31818181818181823,0.3,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.0,58
Surf_21,1,0.31818181818181823,0.1,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.0,20
Surf_22,1,0.31818181818181823,0.6,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.0,0
Surf_23,1,0.4545454545454545,0.3,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.0,61
Surf_24,1,0.5454545454545454,0.2,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,21
Surf_25,1,0.5454545454545454,0.45,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,69
Surf_26,1,0.5454545454545454,0.65,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,11
Surf_27,1,0.9999999999999999,0.45,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.0,25
Surf_28,1,0.31818181818181823,0.2,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.0019455252918287938,20
Surf_29,1,0.4545454545454545,0.56,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.0019455252918287938,11
Surf_30,1,0.5454545454545454,0.15,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.0019455252918287938,21
Surf_31,1,0.36363636363636365,0.1,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.0038910505836575876,20
Surf_32,1,0.5454545454545454,0.25,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.0038910505836575876,21
Surf_33,1,0.5454545454545454,0.6,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.0038910505836575876,11
Surf_34,1,0.5454545454545454,1.0,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.0038910505836575876,22
Surf_35,1,0.5454545454545454,0.45,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.0038910505836575876,40
Surf_36,1,0.5454545454545454,0.8,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.0038910505836575876,77
Surf_37,1,0.5909090909090909,0.0,0.1076923076923077,0.0,1.0,0.0,0.0,0.0,0.0038910505836575876,68
Surf_38,1,0.6363636363636364,0.32,0.1076923076923077,0.0,1.0,0.0,0.0,0.0,0.0038910505836575876,35
Surf_39,1,0.5454545454545454,0.25,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.005836575875486381,78
Surf_40,1,0.5454545454545454,0.35000000000000003,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.005836575875486381,69
Surf_41,1,0.4545454545454545,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.007782101167315175,37
Surf_42,1,0.4545454545454545,0.2,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.009727626459143969,6
Surf_43,1,0.5454545454545454,0.65,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.009727626459143969,26
Surf_44,1,0.4545454545454545,0.18,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.011673151750972763,21
Surf_45,1,0.5454545454545454,0.1,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.011673151750972763,31
Surf_46,1,0.5454545454545454,0.2,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.011673151750972763,31
Surf_47,1,0.5454545454545454,0.6,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.013618677042801557,51
Surf_48,1,0.5454545454545454,0.5,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.01556420233463035,51
Surf_49,1,0.5454545454545454,0.4,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.017509727626459144,51
Surf_50,1,0.36363636363636365,0.3,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.021400778210116732,61
Surf_51,1,0.5454545454545454,0.55,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.021400778210116732,11
Surf_52,1,0.5909090909090909,0.0,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.021400778210116732,67
Surf_53,1,0.31818181818181823,0.2,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.023346303501945526,58
Surf_54,1,0.5454545454545454,0.15,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.023346303501945526,21
Surf_55,1,0.5454545454545454,0.3,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.027237354085603113,6
Surf_56,1,0.5454545454545454,0.2,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.033073929961089495,6
Surf_57,1,0.5454545454545454,0.15,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.033073929961089495,31
Surf_58,1,0.5454545454545454,0.3,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.03501945525291829,78
