,Cat,Formulation,Oil
100,0,0.1%#Surf_156#0.1%#Surf_14#,Oil_25 + 12.5% Oil_A
101,0,0.1%#Surf_202#0.1%#Surf_14#,Oil_25 + 12.5% Oil_A
102,0,0.12%#Surf_202#0.08%#Surf_14#,Oil_25 + 12.5% Oil_A
103,0,0.1%#Surf_202#0.1%#Surf_69#,Oil_25 + 12.5% Oil_A
104,0,0.1%#Surf_202#0.1%#Surf_162#,Oil_25 + 12.5% Oil_A
105,0,0.1%#Surf_156#0.05%#Surf_14#0.05%#Surf_16#,Oil_25 + 12.5% Oil_A
106,0,0.12%#Surf_202#0.08%#Surf_14#,Oil_25 + 12.5% Oil_A
107,0,0.1%#Surf_190#0.1%#Surf_16#,Oil_25 + 12.5% Oil_A
108,0,0.12%#Surf_190#0.08%#Surf_14#,Oil_25 + 12.5% Oil_A
109,0,0.1%#Surf_190#0.1%#Surf_16#,Oil_25 + 12.5% Oil_A
110,0,0.12%#Surf_175#0.08%#Surf_14#,Oil_25 + 12.5% Oil_A
111,0,0.14%#Surf_190#0.06%#Surf_14#,Oil_25 + 12.5% Oil_A
112,0,0.12%#Surf_190#0.08%#Surf_14#,Oil_25 + 12.5% Oil_A
113,0,0.12%#Surf_190#0.08%#Surf_14#,Oil_25 + 12.5% Oil_A
114,0,0.125%#Surf_190#0.075%#Surf_14#,Oil_25 + 12.5% Oil_A
115,0,0.125%#Surf_190#0.075%#Surf_14#0.05%#Cosolv_47#,Oil_25 + 12.5% Oil_A
116,0,0.12%#Surf_190#0.08%#Surf_14#0.05%#Cosolv_47#,Oil_25 + 12.5% Oil_A
117,0,0.12%#Surf_190#0.08%#Surf_14#,Oil_25 + 12.5% Oil_A
118,0,0.12%#Surf_190#0.08%#Surf_13#,Oil_25 + 12.5% Oil_A
119,0,0.15%#Surf_190#0.05%#Surf_13#,Oil_25 + 12.5% Oil_A
120,0,0.12%#Surf_202#0.08%#Surf_13#,Oil_25 + 12.5% Oil_A
121,0,0.06%#Surf_202#0.06%#Surf_190#0.08%#Surf_13#,Oil_25 + 12.5% Oil_A
122,0,0.12%#Surf_202#0.08%#Surf_13#,Oil_25 + 12.5% Oil_A
123,1,0.18%#Surf_202#0.12%#Surf_69#,Oil_25 + 12.5% Oil_A
124,1,0.18%#Surf_170#0.12%#Surf_7#,Oil_25 + 12.5% Oil_A
125,0,0.235%#Surf_143#0.065%#Surf_16#,Oil_25 + 12.5% Oil_A
126,0,0.18%#Surf_142#0.12%#Surf_17#,Oil_25 + 12.5% Oil_A
127,0,0.18%#Surf_142#0.12%#Surf_17#,Oil_25 + 12.5% Oil_A
128,0,0.225%#Surf_143#0.075%#Surf_16#,Oil_25 + 12.5% Oil_A
129,0,0.18%#Surf_170#0.12%#Surf_17#,Oil_25 + 12.5% Oil_A
130,0,0.18%#Surf_170#0.12%#Surf_17#,Oil_25 + 12.5% Oil_A
131,1,0.18%#Surf_202#0.12%#Surf_17#,Oil_25 + 12.5% Oil_A
132,1,1%#Cosolv_43#,Oil_13
133,0,1%#Cosolv_26#,Oil_13
134,0,1%#Cosolv_26#,Oil_13
135,0,1%#Cosolv_26#,Oil_13
136,0,1%#Cosolv_26#,Oil_13
137,1,1%#Surf_10#1%#Surf_70#2%#Cosolv_43#,Oil_23
138,1,1%#Surf_10#1%#Surf_70#2%#Cosolv_43#,Oil_23
139,1,1.5%#Surf_10#0.5%#Surf_70#2%#Cosolv_43#,Oil_23
140,1,1.5%#Surf_10#0.5%#Surf_70#2%#Cosolv_43#,Oil_23
141,1,1.5%#Surf_10#0.5%#Surf_70#2%#Cosolv_43#,Oil_23
142,1,1.5%#Surf_10#0.5%#Surf_70#2%#Cosolv_43#,Oil_23
143,1,1.5%#Surf_10#0.5%#Surf_70#2%#Cosolv_43#,Oil_23
144,1,0.4%#Surf_213#0.3%#Surf_67#0.3%#Surf_211#1%#Cosolv_46#,Oil_23
145,1,0.4%#Surf_211#0.3%#Surf_69#0.3%#Surf_210#1%#Cosolv_30#,Oil_23
146,1,0.2%#Surf_168#0.15%#Surf_69#0.15%#Surf_210#0.5%#Cosolv_37#,Oil_23
147,1,0.2%#Surf_168#0.15%#Surf_69#0.15%#Surf_210#0.3%#Cosolv_37#,Oil_23
148,1,0.45%#Surf_168#0.25%#Surf_69#0.3%#Surf_210#1%#Cosolv_37#,Oil_23
149,1,0.35%#Surf_168#0.3%#Surf_69#0.35%#Surf_210#1%#Cosolv_37#,Oil_23
150,0,1%#Surf_69#1%#Cosolv_34#,Oil_27
151,0,1%#Surf_69#1%#Cosolv_34#,Oil_27
152,0,2%#Surf_69#4%#Cosolv_34#,Oil_27
153,0,0.3%#Surf_69#0.3%#Cosolv_34#,Oil_27
154,0,0.3%#Surf_69#0.6%#Cosolv_34#,Oil_27
155,0,0.75%#Surf_69#0.25%#Surf_70#1%#Cosolv_47#,Oil_27
156,0,0.5%#Surf_69#0.5%#Surf_70#1%#Cosolv_47#,Oil_27
157,0,0.75%#Surf_69#0.25%#Surf_70#1%#Cosolv_34#,Oil_27
158,0,0.5%#Surf_69#0.5%#Surf_70#1%#Cosolv_34#,Oil_27
159,0,0.3%#Surf_69#2%#Cosolv_34#,Oil_27
160,0,0.15%#Surf_69#0.15%#Surf_70#0.6%#Cosolv_34#,Oil_27
161,0,0.1%#Surf_69#0.2%#Surf_70#0.6%#Cosolv_34#,Oil_27
162,0,0.5%#Surf_69#1%#Cosolv_27#,Oil_27
163,0,0.3%#Surf_69#0.6%#Cosolv_43#,Oil_27
164,0,1%#Surf_69#1%#Cosolv_41#,Oil_27
165,0,1%#Surf_69#1.5%#Cosolv_41#,Oil_27
166,0,1%#Surf_69#1.5%#Cosolv_43#,Oil_27
167,0,0.75%#Surf_69#0.25%#Surf_12#1%#Cosolv_41#,Oil_27
168,0,0.75%#Surf_69#0.25%#Surf_12#1%#Cosolv_41#,Oil_27
169,0,0.75%#Surf_69#0.25%#Surf_12#1%#Cosolv_43#,Oil_27
170,0,0.75%#Surf_69#0.25%#Surf_12#1%#Cosolv_41#,Oil_27
171,0,0.75%#Surf_69#0.25%#Surf_12#1%#Cosolv_43#,Oil_27
172,0,0.75%#Surf_69#0.25%#Surf_12#1%#Cosolv_27#,Oil_27
173,0,0.225%#Surf_69#0.075%#Surf_12#1%#Cosolv_41#,Oil_27
174,0,1%#Surf_69#2%#Cosolv_27#,Oil_27
175,0,0.3%#Surf_69#0.6%#Cosolv_27#,Oil_27
176,0,0.3%#Surf_69#0.6%#Cosolv_27#,Oil_27
177,0,0.3%#Surf_69#0.6%#Cosolv_34#,Oil_27
178,0,0.3%#Surf_69#,Oil_27
179,0,1%#Surf_69#2%#Cosolv_47#,Oil_27
180,0,0.25%#Surf_63#0.25%#Surf_14#1%#Cosolv_48#,Oil_27
181,0,0.25%#Surf_42#0.25%#Surf_69#,Oil_27
182,0,0.5%#Surf_63#0.5%#Surf_14#1%#Cosolv_48#,Oil_27
183,0,0.5%#Surf_76#0.5%#Surf_69#1%#Cosolv_48#,Oil_27
184,0,0.25%#Surf_63#0.25%#Surf_13#1%#Cosolv_48#,Oil_27
185,0,0.5%#Surf_63#0.5%#Surf_69#,Oil_27
186,0,0.5%#Surf_90#0.5%#Surf_68#,Oil_27
187,0,0.5%#Surf_63#0.5%#Surf_13#1%#Cosolv_48#,Oil_27
