official_n,test_type,latitude,longitude,x,y,geologic_unit,geologic_ID,cohesion,friction_angle,Vs30_Mean,slope_angle,aspect,elevation,flowline_curvature,general_curvature,plan_curvature,profile_curvature,total_curvature
ROG_M548-G_B3,Direct Shear,34.047623,-118.774881,336175,3768857,Tsh,14,30.24,44.1,385.1,8.699934959,16.04026604,313.1486206,0.000105225,0.03373991,0.104888611,0.000791889,0.000298667
ROG_M548-G_B3,Direct Shear,34.047623,-118.774881,336175,3768857,Tsh,14,34.56,44.6,385.1,8.699934959,16.04026604,313.1486206,0.000105225,0.03373991,0.104888611,0.000791889,0.000298667
RS&AI_1-2-0153-0_B1,Direct Shear,34.191062,-118.877319,327011,3784934,Tsh,14,19.2,36,385.1,13.25814915,351.5937805,259.9869995,0.000142279,0.011257093,0.005210142,0.004058335,3.40116E-05
RS&AI_1-2-0153-0_B3,Direct Shear,34.191346,-118.876508,327087,3784964,Tsh,14,24,32,385.1,11.66504288,357.8799133,252.8671265,0.000028144,-0.006345714,0.005743143,-0.00409403,2.12748E-05
RS&AI_1-3-0101-0_1,Direct Shear,34.236621,-118.579837,354504,3789521,Qal2,7,16.8,32,293.5,0.712582946,124.1977081,267.029541,4.91238E-08,-0.00145903,-0.038457129,-0.000251144,4.93571E-07
RS&AI_2557-00_B1,Direct Shear,34.041043,-118.63616,348969,3767914,Kss,5,105.6,16,502.5,25.65825462,266.7636719,53.26068878,0.000391454,-0.041602805,0.011236594,-0.01918797,0.000721285
RS&AI_2557-00_B1,Direct Shear,34.041043,-118.63616,348969,3767914,Kss,5,9.6,49,502.5,25.65825462,266.7636719,53.26068878,0.000391454,-0.041602805,0.011236594,-0.01918797,0.000721285
RS&AI_2558-02_TP,Direct Shear,34.206619,-118.679858,345237,3786342,Kss,5,52.8,35,502.5,13.50209427,224.2412872,341.9714661,0.000054605,-0.003409299,-0.000614178,-0.001431596,4.24045E-06
RS&AI_2558-02_TP,Repeatedly Sheared Direct Shear,34.206619,-118.679858,345237,3786342,Kss,5,38.4,38,502.5,13.50209427,224.2412872,341.9714661,0.000054605,-0.003409299,-0.000614178,-0.001431596,4.24045E-06
RS&AI_2558-02_TP,Direct Shear,34.206619,-118.679858,345237,3786342,Kss,5,33.6,52,502.5,13.50209427,224.2412872,341.9714661,0.000054605,-0.003409299,-0.000614178,-0.001431596,4.24045E-06
RS&AI_3286-00_1,Direct Shear,34.122234,-118.625765,350072,3776903,Tsh,14,72,22,385.1,26.14463043,100.8447189,493.5259399,-0.000634956,-0.020019285,-0.019329015,-0.000377448,0.000104181
RS&AI_3286-00_1,Direct Shear,34.122234,-118.625765,350072,3776903,Tsh,14,42.72,24,385.1,26.14463043,100.8447189,493.5259399,-0.000634956,-0.020019285,-0.019329015,-0.000377448,0.000104181
RS&AI_3286-00_1,Direct Shear,34.122234,-118.625765,350072,3776903,Tsh,14,28.8,24,385.1,26.14463043,100.8447189,493.5259399,-0.000634956,-0.020019285,-0.019329015,-0.000377448,0.000104181
RS&AI_3344-00_1,Direct Shear,34.206507,-118.556115,356638,3786148,Qal2,7,38.4,28,293.5,0.396139801,133.5786591,231.6143951,-3.9866E-10,7.80908E-05,0.000430944,3.60633E-05,1.44872E-09
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,43.2,24,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,33.6,27,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,57.6,26.5,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,67.2,27.5,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,48,27,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,62.4,20,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,52.8,20,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
